name,team,age,pos,games,gamesStarted,targets,receptions,catchPercentage,yards,yardsPerRec,td,long,recPerGame,yardPerGame,fumbles
JARVIS LANDRY,MIA,24,WR,2,2,23,17,73.9,196,11.5,0,33,8.5,98.0,1
STEFON DIGGS,MIN,23,WR,2,2,20,16,80.0,285,17.8,1,46,8.0,142.5,0
JULIAN EDELMAN,NWE,30,WR,2,2,18,14,77.8,142,10.1,0,19,7.0,71.0,0
LARRY FITZGERALD,ARI,33,WR,2,2,21,14,66.7,162,11.6,3,25,7.0,81.0,0
A.J. GREEN,CIN,28,WR,2,2,21,14,66.7,218,15.6,1,54,7.0,109.0,0
WILLIE SNEAD,NOR,24,WR,2,1,17,14,82.4,226,16.1,2,49,7.0,113.0,1
COLE BEASLEY,DAL,27,WR,2,1,18,13,72.2,140,10.8,0,28,6.5,70.0,0
KELVIN BENJAMIN,CAR,25,WR,2,1,21,13,61.9,199,15.3,3,25,6.5,99.5,0
TRAVIS BENJAMIN,SDG,27,WR,2,2,14,13,92.9,147,11.3,2,45,6.5,73.5,0
BRANDIN COOKS,NOR,23,WR,2,1,18,13,72.2,211,16.2,2,98,6.5,105.5,0
QUINCY ENUNWA,NYJ,24,WR,2,1,14,13,92.9,146,11.2,1,34,6.5,73.0,0
JORDAN MATTHEWS,PHI,24,WR,2,2,23,13,56.5,185,14.2,1,32,6.5,92.5,0
DOUG BALDWIN,SEA,28,WR,2,1,17,12,70.6,112,9.3,1,22,6.0,56.0,0
ODELL BECKHAM,NYG,24,WR,2,2,19,12,63.2,159,13.3,0,45,6.0,79.5,0
ANTONIO BROWN,PIT,28,WR,2,2,22,12,54.5,165,13.8,2,29,6.0,82.5,0
JAMISON CROWDER,WAS,23,WR,2,1,18,12,66.7,97,8.1,1,16,6.0,48.5,1
DEANDRE HOPKINS,HOU,24,WR,2,2,19,12,63.2,167,13.9,2,35,6.0,83.5,0
MARVIN JONES,DET,26,WR,2,2,21,12,57.1,203,16.9,0,47,6.0,101.5,0
DEMARCO MURRAY,TEN,28,RB,2,2,14,12,85.7,91,7.6,2,22,6.0,45.5,1
GREG OLSEN,CAR,31,TE,2,2,17,12,70.6,195,16.3,1,78,6.0,97.5,0
DENNIS PITTA,BAL,31,TE,2,2,16,12,75.0,141,11.8,0,30,6.0,70.5,0
JORDAN REED,WAS,26,TE,2,2,18,12,66.7,134,11.2,0,25,6.0,67.0,0
JASON WITTEN,DAL,34,TE,2,2,18,12,66.7,117,9.8,0,29,6.0,58.5,0
T.J. YELDON,JAX,23,RB,2,2,15,12,80.0,40,3.3,0,11,6.0,20.0,0
GIOVANI BERNARD,CIN,25,"",2,0,15,11,73.3,105,9.5,1,25,5.5,52.5,1
RANDALL COBB,GNB,26,WR,2,2,15,11,73.3,99,9.0,0,32,5.5,49.5,0
AMARI COOPER,OAK,22,WR,2,2,20,11,55.0,208,18.9,0,43,5.5,104.0,2
MICHAEL CRABTREE,OAK,29,WR,2,2,14,11,78.6,118,10.7,1,25,5.5,59.0,0
MIKE EVANS,TAM,23,WR,2,2,24,11,45.8,169,15.4,2,45,5.5,84.5,0
TRAVIS KELCE,KAN,27,TE,2,2,14,11,78.6,108,9.8,0,20,5.5,54.0,0
JEREMY MACLIN,KAN,28,WR,2,2,22,11,50.0,131,11.9,1,22,5.5,65.5,0
JORDY NELSON,GNB,31,WR,2,2,20,11,55.0,105,9.5,2,39,5.5,52.5,0
TAJAE SHARPE,TEN,22,WR,2,2,18,11,61.1,109,9.9,0,17,5.5,54.5,0
STERLING SHEPARD,NYG,22,WR,2,2,12,11,91.7,160,14.5,1,32,5.5,80.0,0
JACOB TAMME,ATL,31,TE,2,2,16,11,68.8,126,11.5,1,19,5.5,63.0,0
KENNY BRITT,LAR,28,WR,2,2,16,10,62.5,161,16.1,0,36,5.0,80.5,0
T.Y. HILTON,IND,27,WR,2,2,23,10,43.5,120,12.0,0,32,5.0,60.0,0
JEREMY KERLEY,SFO,28,WR,2,2,17,10,58.8,90,9.0,0,18,5.0,45.0,0
MICHAEL THOMAS,NOR,23,WR,2,1,11,10,90.9,114,11.4,0,25,5.0,57.0,0
DEANGELO WILLIAMS,PIT,33,RB,2,2,14,10,71.4,66,6.6,1,20,5.0,33.0,0
TAVON AUSTIN,LAR,25,WR,2,2,21,9,42.9,63,7.0,0,27,4.5,31.5,0
ERIC EBRON,DET,23,TE,2,2,12,9,75.0,99,11.0,1,29,4.5,49.5,0
WILL FULLER,HOU,22,WR,2,2,18,9,50.0,211,23.4,1,53,4.5,105.5,0
ADAM HUMPHRIES,TAM,23,WR,2,2,13,9,69.2,101,11.2,0,26,4.5,50.5,0
ALLEN HURNS,JAX,25,WR,2,2,15,9,60.0,139,15.4,0,38,4.5,69.5,0
DESEAN JACKSON,WAS,30,WR,2,2,15,9,60.0,142,15.8,0,33,4.5,71.0,0
ALSHON JEFFERY,CHI,26,WR,2,2,13,9,69.2,201,22.3,0,54,4.5,100.5,0
JULIO JONES,ATL,27,WR,2,2,13,9,69.2,172,19.1,2,48,4.5,86.0,0
BRANDON MARSHALL,NYJ,32,WR,2,2,17,9,52.9,133,14.8,0,37,4.5,66.5,0
THEO RIDDICK,DET,25,"",2,0,10,9,90.0,91,10.1,1,19,4.5,45.5,0
ALLEN ROBINSON,JAX,23,WR,2,2,20,9,45.0,126,14.0,0,35,4.5,63.0,1
GOLDEN TATE,DET,28,WR,2,2,16,9,56.3,54,6.0,0,11,4.5,27.0,0
DEMARYIUS THOMAS,DEN,29,WR,2,2,13,9,69.2,138,15.3,0,44,4.5,69.0,0
JULIUS THOMAS,JAX,28,TE,2,2,12,9,75.0,135,15.0,1,24,4.5,67.5,0
CLIVE WALFORD,OAK,25,"",2,0,12,9,75.0,75,8.3,1,31,4.5,37.5,0
DELANIE WALKER,TEN,32,TE,2,1,11,9,81.8,125,13.9,1,32,4.5,62.5,0
SPENCER WARE,KAN,25,RB,2,2,11,9,81.8,177,19.7,0,45,4.5,88.5,1
NELSON AGHOLOR,PHI,23,WR,2,2,12,8,66.7,99,12.4,1,35,4.0,49.5,0
MARTELLUS BENNETT,NWE,29,TE,2,2,11,8,72.7,128,16.0,1,37,4.0,64.0,0
TYLER BOYD,CIN,22,"",2,0,11,8,72.7,102,12.8,0,29,4.0,51.0,1
DEZ BRYANT,DAL,28,WR,2,2,17,8,47.1,110,13.8,0,21,4.0,55.0,0
VICTOR CRUZ,NYG,30,WR,2,2,12,8,66.7,125,15.6,1,40,4.0,62.5,1
ERIC DECKER,NYJ,29,WR,2,2,15,8,53.3,163,20.4,2,35,4.0,81.5,0
PIERRE GARCON,WAS,30,WR,2,2,13,8,61.5,76,9.5,0,19,4.0,38.0,0
JESSE JAMES,PIT,22,TE,2,2,12,8,66.7,60,7.5,1,11,4.0,30.0,0
LESEAN MCCOY,BUF,28,RB,2,2,9,8,88.9,43,5.4,0,10,4.0,21.5,0
DEVANTE PARKER,MIA,23,WR,1,1,13,8,61.5,106,13.3,0,28,8.0,106.0,0
QUINTON PATTON,SFO,26,WR,2,2,11,8,72.7,85,10.6,0,35,4.0,42.5,1
EDDIE ROYAL,CHI,30,"",2,0,12,8,66.7,109,13.6,1,31,4.0,54.5,0
EMMANUEL SANDERS,DEN,29,WR,2,2,16,8,50.0,88,11.0,0,19,4.0,44.0,0
MOHAMED SANU,ATL,27,WR,2,2,13,8,61.5,99,12.4,1,59,4.0,49.5,0
STEVE SMITH,BAL,37,WR,2,2,14,8,57.1,83,10.4,0,31,4.0,41.5,0
ADAM THIELEN,MIN,26,WR,2,1,10,8,80.0,95,11.9,0,21,4.0,47.5,1
DANNY AMENDOLA,NWE,31,"",2,0,8,7,87.5,98,14.0,2,32,3.5,49.0,1
C.J. ANDERSON,DEN,25,RB,2,2,10,7,70.0,66,9.4,1,25,3.5,33.0,0
ANQUAN BOLDIN,DET,36,WR,2,2,10,7,70.0,83,11.9,1,24,3.5,41.5,0
JORDAN CAMERON,MIA,28,TE,2,2,10,7,70.0,55,7.9,1,13,3.5,27.5,0
CHARLES CLAY,BUF,27,TE,2,2,10,7,70.0,67,9.6,0,33,3.5,33.5,0
COREY COLEMAN,CLE,22,WR,2,2,13,7,53.8,173,24.7,2,58,3.5,86.5,0
TEVIN COLEMAN,ATL,23,"",2,0,8,7,87.5,120,17.1,0,47,3.5,60.0,0
JACK DOYLE,IND,26,TE,2,2,9,7,77.8,72,10.3,2,22,3.5,36.0,0
JOSH FERGUSON,IND,23,"",2,0,7,7,100.0,55,7.9,0,14,3.5,27.5,0
MATT FORTE,NYJ,31,RB,2,2,10,7,70.0,68,9.7,0,24,3.5,34.0,0
FRANK GORE,IND,33,RB,2,2,9,7,77.8,38,5.4,1,8,3.5,19.0,0
VIRGIL GREEN,DEN,28,TE,2,1,8,7,87.5,74,10.6,0,18,3.5,37.0,0
CHRIS HOGAN,NWE,28,WR,2,2,10,7,70.0,119,17.0,1,37,3.5,59.5,0
DAVID JOHNSON,ARI,25,RB,2,2,11,7,63.6,141,20.1,0,58,3.5,70.5,0
DUKE JOHNSON,CLE,23,"",2,0,10,7,70.0,72,10.3,0,28,3.5,36.0,0
JERMAINE KEARSE,SEA,26,WR,2,1,13,7,53.8,68,9.7,0,24,3.5,34.0,0
BRANDON LAFELL,CIN,30,WR,2,2,12,7,58.3,130,18.6,0,49,3.5,65.0,0
MARQISE LEE,JAX,25,"",2,0,11,7,63.6,97,13.9,0,22,3.5,48.5,0
TYLER LOCKETT,SEA,24,WR,2,2,12,7,58.3,116,16.6,0,53,3.5,58.0,0
RISHARD MATTHEWS,TEN,27,WR,2,1,10,7,70.0,66,9.4,0,20,3.5,33.0,0
ZACH MILLER,CHI,32,TE,2,1,9,7,77.8,47,6.7,0,12,3.5,23.5,0
DONTE MONCRIEF,IND,23,WR,2,1,10,7,70.0,73,10.4,1,32,3.5,36.5,0
LATAVIUS MURRAY,OAK,26,RB,2,2,8,7,87.5,57,8.1,0,13,3.5,28.5,0
ELI ROGERS,PIT,"",WR,2,2,10,7,70.0,68,9.7,1,20,3.5,34.0,0
KYLE RUDOLPH,MIN,27,TE,2,2,16,7,43.8,96,13.7,1,21,3.5,48.0,0
MIKE WALLACE,BAL,30,WR,2,2,12,7,58.3,132,18.9,3,66,3.5,66.0,0
CHARCANDRICK WEST,KAN,25,"",2,0,8,7,87.5,26,3.7,0,7,3.5,13.0,0
JAMES WHITE,NWE,24,"",2,0,11,7,63.6,50,7.1,0,21,3.5,25.0,0
KEVIN WHITE,CHI,24,WR,2,2,13,7,53.8,70,10.0,0,19,3.5,35.0,0
DAVANTE ADAMS,GNB,24,WR,2,2,14,6,42.9,76,12.7,1,29,3.0,38.0,1
DWAYNE ALLEN,IND,26,TE,2,2,10,6,60.0,78,13.0,1,19,3.0,39.0,0
KEENAN ALLEN,SDG,24,WR,1,1,7,6,85.7,63,10.5,0,15,6.0,63.0,0
CAMERON BRATE,TAM,25,"",2,0,7,6,85.7,46,7.7,0,17,3.0,23.0,0
CHRIS CONLEY,KAN,24,WR,2,1,11,6,54.5,58,9.7,0,13,3.0,29.0,0
VERNON DAVIS,WAS,32,TE,2,1,6,6,100.0,71,11.8,0,32,3.0,35.5,0
ZACH ERTZ,PHI,26,TE,1,1,7,6,85.7,58,9.7,0,15,6.0,58.0,0
ANTONIO GATES,SDG,36,TE,2,1,9,6,66.7,35,5.8,1,8,3.0,17.5,0
MARK INGRAM,NOR,27,RB,2,2,6,6,100.0,46,7.7,0,20,3.0,23.0,0
VINCENT JACKSON,TAM,33,WR,2,2,16,6,37.5,62,10.3,0,15,3.0,31.0,0
LANCE KENDRICKS,LAR,28,TE,2,2,9,6,66.7,76,12.7,0,44,3.0,38.0,0
LAMAR MILLER,HOU,25,RB,2,2,6,6,100.0,25,4.2,0,9,3.0,12.5,1
TERRELLE PRYOR,CLE,27,WR,2,2,17,6,35.3,100,16.7,0,44,3.0,50.0,0
THOMAS RAWLS,SEA,23,RB,2,1,6,6,100.0,41,6.8,0,11,3.0,20.5,0
CHARLES SIMS,TAM,26,"",2,0,8,6,75.0,36,6.0,1,23,3.0,18.0,0
SHANE VEREEN,NYG,27,"",2,0,8,6,75.0,47,7.8,0,12,3.0,23.5,1
SAMMY WATKINS,BUF,23,WR,2,2,11,6,54.5,63,10.5,0,19,3.0,31.5,0
DANNY WOODHEAD,SDG,31,RB,2,1,8,6,75.0,35,5.8,1,12,3.0,17.5,0
AMEER ABDULLAH,DET,23,RB,2,2,5,5,100.0,57,11.4,1,18,2.5,28.5,0
STEPHEN ANDERSON,HOU,23,"",2,0,6,5,83.3,40,8.0,0,12,2.5,20.0,0
TREY BURTON,PHI,25,"",1,0,7,5,71.4,49,9.8,1,14,5.0,49.0,0
TRAVARIS CADET,NOR,27,"",2,0,10,5,50.0,31,6.2,1,10,2.5,15.5,0
JARED COOK,GNB,29,TE,2,2,8,5,62.5,38,7.6,0,14,2.5,19.0,0
LARRY DONNELL,NYG,28,TE,2,2,7,5,71.4,39,7.8,1,15,2.5,19.5,0
PHILLIP DORSETT,IND,23,"",2,0,11,5,45.5,124,24.8,0,51,2.5,62.0,0
MICHAEL FLOYD,ARI,27,WR,2,2,13,5,38.5,69,13.8,1,39,2.5,34.5,0
JUSTIN FORSETT,BAL,31,RB,2,2,7,5,71.4,24,4.8,0,10,2.5,12.0,0
CARLOS HYDE,SFO,25,RB,2,2,6,5,83.3,23,4.6,0,13,2.5,11.5,1
DOUG MARTIN,TAM,27,RB,2,2,5,5,100.0,34,6.8,0,14,2.5,17.0,0
CHRISTINE MICHAEL,SEA,26,RB,2,1,8,5,62.5,31,6.2,0,13,2.5,15.5,1
SETH ROBERTS,OAK,25,"",2,0,10,5,50.0,44,8.8,1,14,2.5,22.0,0
TORREY SMITH,SFO,27,WR,2,2,16,5,31.3,68,13.6,1,28,2.5,34.0,0
CHRIS THOMPSON,WAS,26,"",2,0,6,5,83.3,73,14.6,0,38,2.5,36.5,0
WILL TYE,NYG,25,"",2,0,6,5,83.3,26,5.2,0,7,2.5,13.0,0
C.J. UZOMAH,CIN,23,TE,2,2,13,5,38.5,68,13.6,0,54,2.5,34.0,0
TYRELL WILLIAMS,SDG,24,"",2,0,11,5,45.5,132,26.4,1,44,2.5,66.0,0
ALBERT WILSON,KAN,24,WR,2,1,8,5,62.5,12,2.4,0,7,2.5,6.0,0
ROBERT WOODS,BUF,24,WR,2,2,7,5,71.4,30,6.0,0,10,2.5,15.0,0
JAY AJAYI,MIA,23,"",1,0,4,4,100.0,31,7.8,0,11,4.0,31.0,1
GARY BARNIDGE,CLE,31,TE,2,2,7,4,57.1,37,9.3,0,14,2.0,18.5,0
